cdm_name,comparison,adjustment,censoring_method,outcome_name,study,coef,se_coef,hr,lower_hr,upper_hr,heterogeneity
CPRD AURUM,any (VE),overlap weighting,leave,longcovid_post_acute_covid19_28_365,Study 1,-1.0047962080707866,0.4239693391835039,0.366119239347964,0.2143784374754138,0.625264830732357,NA
CPRD AURUM,any (VE),overlap weighting,leave+vaccine,longcovid_post_acute_covid19_28_365,Study 1,-1.6381476084757145,0.6372285997208905,0.1943397022898356,0.08773554072938795,0.4304745781711601,NA
CPRD AURUM,any (VE),overlap weighting,leave,longcovid_post_acute_covid19_90_365,Study 1,-1.3646513689735875,0.633593427965985,0.2554697251370195,0.11659346060029473,0.559763644766706,NA
CPRD AURUM,any (VE),overlap weighting,leave+vaccine,longcovid_post_acute_covid19_90_365,Study 1,-1.8610848125654735,0.830492467184709,0.15550384630856037,0.05397491690582694,0.448012662232479,NA
CPRD AURUM,any (VE),overlap weighting,leave,longcovid_any_symptom_28_365,Study 1,-0.7268244404724613,0.05931483078698129,0.4834417531772477,0.4465403275285855,0.5233926575201194,NA
CPRD AURUM,any (VE),overlap weighting,leave+vaccine,longcovid_any_symptom_28_365,Study 1,-1.0376027129853924,0.07547796367234381,0.35430303073956293,0.3195971997245584,0.39277765167976114,NA
CPRD AURUM,any (VE),overlap weighting,leave,longcovid_any_symptom_90_365,Study 1,-0.8245560401940965,0.0731095246539844,0.43842959438166235,0.3979821164923267,0.4829878058939744,NA
CPRD AURUM,any (VE),overlap weighting,leave+vaccine,longcovid_any_symptom_90_365,Study 1,-1.019261212907939,0.08502378645854201,0.3608614414920864,0.32117940856079774,0.40544622875814373,NA
CPRD AURUM,any (VE),overlap weighting,leave,next_post_acute_covid19,Study 1,-0.2613308541063784,0.2854581733961233,0.7700261111642951,0.5113673663561086,1.1595190676713865,NA
CPRD AURUM,any (VE),overlap weighting,leave+vaccine,next_post_acute_covid19,Study 1,-0.8810486261610986,0.502236054194496,0.4143481874406572,0.1906841673047736,0.9003601235594562,NA
CPRD AURUM,astrazeneca (VE),overlap weighting,leave,longcovid_post_acute_covid19_28_365,Study 1,-0.8113782601401508,0.5393760494585775,0.4442453584146081,0.20737484299303977,0.951677337639009,NA
CPRD AURUM,astrazeneca (VE),overlap weighting,leave+vaccine,longcovid_post_acute_covid19_28_365,Study 1,-1.5690984862054893,0.845880394721087,0.2082328225261889,0.0546093968148068,0.7940191781328448,NA
CPRD AURUM,astrazeneca (VE),overlap weighting,leave,longcovid_post_acute_covid19_90_365,Study 1,-0.9538191749025118,0.7801520181014837,0.3852668087777187,0.12133492653562147,1.223312348585723,NA
CPRD AURUM,astrazeneca (VE),overlap weighting,leave+vaccine,longcovid_post_acute_covid19_90_365,Study 1,-1.5452816983058382,1.0155654757549673,0.21325179009295012,0.03681818547861805,1.2351593482046468,NA
CPRD AURUM,astrazeneca (VE),overlap weighting,leave,longcovid_any_symptom_28_365,Study 1,-0.5637310448090994,0.077802293965876207,0.5690818281098782,0.5123779470980234,0.632061018471047,NA
CPRD AURUM,astrazeneca (VE),overlap weighting,leave+vaccine,longcovid_any_symptom_28_365,Study 1,-0.8290522295317515,0.0980752717665015,0.4364627568644464,0.3789377632721457,0.5027203847004809,NA
CPRD AURUM,astrazeneca (VE),overlap weighting,leave,longcovid_any_symptom_90_365,Study 1,-0.663291399319091,0.09609654521310967,0.5151529668974985,0.4522158019087324,0.5868494161043392,NA
CPRD AURUM,astrazeneca (VE),overlap weighting,leave+vaccine,longcovid_any_symptom_90_365,Study 1,-0.8510772070102405,0.1114399192053212,0.4269547654795205,0.3634097735340051,0.5016110876517607,NA
CPRD AURUM,astrazeneca (VE),overlap weighting,leave,next_post_acute_covid19,Study 1,-0.22186977711726172,0.37051232195346634,0.8010196686334881,0.4840808930139074,1.325465472398369,NA
CPRD AURUM,astrazeneca (VE),overlap weighting,leave+vaccine,next_post_acute_covid19,Study 1,-1.3797265635649447,0.739038998240436,0.25164735320824655,0.0857035994904872,0.7389000083216457,NA
CPRD AURUM,pfizer (VE),overlap weighting,leave,longcovid_post_acute_covid19_28_365,Study 1,-1.1891025371835997,0.4582000371010011,0.30449441389173404,0.17181660301624582,0.5396268257177914,NA
CPRD AURUM,pfizer (VE),overlap weighting,leave+vaccine,longcovid_post_acute_covid19_28_365,Study 1,-1.6812215411102136,0.6232932607441523,0.1861464515593488,0.0800503295676975,0.4328589478052494,NA
